Title,Condition,Price,Sale_Date,Postage,Total_Cost,Import_Date,URL
"Nintendo Switch Oled (White) with dock, 6 games and Pro controller",Pre-owned,340.0,6 Mar 2023,7.95,347.95,2023-03-07,https://www.ebay.co.uk/itm/404186849479?hash=item5e1b69e0c7%3Ag%3ASDcAAOSwYCFj%7EQGO&amdata=enc%3AAQAHAAAAoIOF5MzUqhNbTokBVLds8LRCe4DCDYJj1ERhAfQ3p2z8lRCUcTmyFZN3MuMQZu3g4ZcbPwp%2Bcp%2BOJ2grEMZcTY7Sku3TWkBM0CnqXaTaRFNWK8omMbheaZyEiF18ni02qxH9eq2h1A%2FD6R5dBPRa%2Fcrl7SX3EKfiBB%2B13iaC85ss%2BGi%2By88Eh5kAyFB0U4ljJw5DK5D%2FEYF%2BpCrpM%2BZw8FY%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,253.53,6 Mar 2023,26.53,280.06,2023-03-07,https://www.ebay.co.uk/itm/125792880933?epid=10048191653&hash=item1d49d70925%3Ag%3AQBwAAOSwYadj3u%7Ei&amdata=enc%3AAQAHAAAAoM0xx5hmSm7vO5Yk0yrDuwr0VEUN4aYlLXudyesW0vqPn68LYTea0UpguM3WN9gQSKMXLbogRwc%2FWvywRRNLEdoEFWStfUV61S7YZxohO6CO9Iboa1fBa4SP%2Blp%2BXECBWogJOwp%2B1MtKEaE5M5r7v1GsPAfcGtcWprx%2Fl%2BFfvyY%2FKILNDcBGryAiAB4HhZIwBVsClnXS4ahIJpdaUCtSm20%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
"Nintendo Switch OLED - 64GB - White, with extra custom joy-cons and more!",Brand new,266.0,6 Mar 2023,29.6,295.6,2023-03-07,https://www.ebay.co.uk/itm/255990493644?epid=10048191653&hash=item3b9a38f1cc%3Ag%3AL7cAAOSwaOVj65wt&amdata=enc%3AAQAHAAAAoIz0f43UvKTmogFUGDKhHDGqUEffAgnwuYolV2tSVG3ZKPGLVjcePL11fP%2BJRwBeTo9Vkf7Z%2B1Ylcai%2FCsXOk1uCnS1v%2BeTXBO840SbMIM34FWA1s2Rge4%2FXTMu8PiC4fZpXpesovWmPjtV3G8%2BkSDdBBaiKGlTjGr4RTiYcHulpZNnbd9p6VhLX3dQ2IM%2BJHhKBAmhwpftl7DhvoixQvAI%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model Pokémon Scarlet & Violet Edition Console New,Brand new,332.5,6 Mar 2023,17.46,349.96,2023-03-07,https://www.ebay.co.uk/itm/234918472996?hash=item36b23b6d24%3Ag%3AEz0AAOSwV0Jj8262&amdata=enc%3AAQAHAAAAoAUhZBJfzANfsvM%2BdBjAv63mcCKxRPfeAYyeqPWXS2pARP3q9GzNyC4IbUlj1tQSMXbQQ71a8shFuEmbE5Er2tWvy%2FeTaz%2B4HsTixBSV8WvCd966lYddUFaQpw%2BVKIFv7mpYsXCKp7jcDahh6EEobH9v487GBQTQP6X78XkJZ26lOCnpZcCaU7CQsqnU%2Bci%2BwuMT9BScoViJT4SbS%2Bx6ikA%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Genuine Nintendo Switch OLED Handheld Console Only Model HEG-001 - READ UD,Pre-owned,177.06,6 Mar 2023,14.28,191.34,2023-03-07,https://www.ebay.co.uk/itm/134469649640?epid=10048191653&hash=item1f4f0404e8%3Ag%3AehIAAOSw6w1iOiil&amdata=enc%3AAQAHAAAAoLAPjKCRYdalIBvhuqoeQalkKYB3hloZt7bA17vokQXoeqeLw1diVj%2F%2BjSAJSWMco4H9r8G8j4MN9xS0RxoutKeWvuhaojF2ijeJIag3P4LmW7aR2x4%2Fkeewd2j5GFEaLVk5UV%2Fllwkf%2FkUq7wLLu%2Fjm%2B1ZaavVTCVXKKbtHnig3K9Q5DhMBtmpOqP%2BmmPwLGMJ5WlgRicvq3rDmqGo5wk8%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
NEW SEALED NINTENDO SWITCH CONSOLE WITH WHITE JOY-CON OLED MODEL HEG-001,Brand new,286.78,6 Mar 2023,70.52,357.29999999999995,2023-03-07,https://www.ebay.co.uk/itm/295547642514?epid=10048191653&hash=item44d0032292%3Ag%3AkdAAAOSwthJj996Q&amdata=enc%3AAQAHAAAAoMdkpL6SusFO1ctbYCvjbhZBVFWfHAfz%2B7xLvb9xXJXIjatR9cHmrIXzHuq3BrwrK58D9MMU7bxzZYPWqznTGs6sHdsSSkQsUiaqNSRA9luJo8idHn%2BmNE7W84OqviAegS%2BynqTodwrDFAqT219uZEPqELJ6jYGTM4gWmQt31ArDtfLHhFTtRWqN4JVTcjL6XXBDIxXUfbOHkHpJmAUUMiU%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model - White + Animal Crossing Game,Pre-owned,230.0,5 Mar 2023,9.0,239.0,2023-03-07,https://www.ebay.co.uk/itm/374535382639?hash=item57340c666f%3Ag%3A37IAAOSwxzZj-78-&amdata=enc%3AAQAHAAAAoBM9Xs%2BcsRhGX0k%2BHwu4j7sOcs0M7CaPTyfCX83bnvJjHtwxoB%2Baz8o35UMjTHkmMxkfzFFc3RX%2F45ETaHfRhsC5nO6ES893ZyMcZw3%2FJ8lz%2FxboDavrEAHtIVy48tpxgDo9cAdXJJTCDM4XK3JLvnHDbey2975D2LSDDgRxH6watgEGt6XwdW0mmNB3T3DvszLnQjLD9%2F2E0vqBt7wt1vM%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
nintendo switch oled console bundle,Pre-owned,351.0,5 Mar 2023,5.55,356.55,2023-03-07,https://www.ebay.co.uk/itm/394484602174?hash=item5bd91d553e%3Ag%3AGOkAAOSwhjtj-9tZ&amdata=enc%3AAQAHAAAAoGzuKV6WFA%2BppsNZEat6Djf7fo5REsa67FYi21%2FRG6RFx6mhDJpgjVgDbWGnERcAQjshqwVFQ%2BaQePMD1v9idapBRhGMIrGclKKz1TAwzIe%2BigvkuY7T7jbUxzJ3Yrf8K7WOcstfuwk8mgO%2BECq25kS4lu5YqZcvjJYhhu5RSpe8zosZIKJRJABstLx0ZEijcV13JhfTKSgrQXAAuthHNjs%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Black/Neon Red/Neon,Opened – never used,215.0,5 Mar 2023,6.85,221.85,2023-03-07,https://www.ebay.co.uk/itm/295547432582?epid=9048299510&hash=item44cfffee86%3Ag%3AFXAAAOSwRFVj%7EniY&amdata=enc%3AAQAHAAAAoNKO6hDN2mmxeshAljdzzc5bAggQc6AyJey6ADLF9fU4u1ToNzlE6wcNGalNW92kKCMXNUF8jLzdRR8qWNgZ4ni7yQ4C1BGu%2F59pH%2BfR3jE39HvQNIneSVUZL0FD0yCTpKJb7xDmwsbO2SjcvxoxXqdwCcC2uIZRV0X%2Fozlr1cI2OF8K%2F%2BqL4IJEhwwRmUFbBuzBkCI6MWDDKnjug4odOsc%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model - 64GB - Black/Neon Red/Neon (New Sealed - Free Post),Brand new,245.0,5 Mar 2023,0.0,245.0,2023-03-07,https://www.ebay.co.uk/itm/325550593303?epid=9048299510&hash=item4bcc53d517%3Ag%3AxsIAAOSwANNj6APc&amdata=enc%3AAQAHAAAAoGTXPSQ6PO8T%2FsQC63ac7ZMTnkBoxcS6ICSyfiUtwvMTXETMMtohV0YU5lvL7uSm3U85ySLaZ1YO1ZjNlH9MAZ9T1qQ7KKZfmQIO21QowQXFs0wFaOs2cMWRWHVaFFBuC2Q79748zGQasJUqzVDbsk9Gfik%2BRef02CZnp%2B7fYrKGvntEoczhZ9cjuG6gdUDPeauaA6ceEEcbSPTTXsHzPZw%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
